ID,Genotype,Date,A,gsw,Isoprene,Height,Stem_Diam,Leaf_Area,Above_Biomass,LMA,Methanethiol,Chlorophyll,TotalProtein,FoDark,FmDark,Fo_Lss,FmorFm,FoorFs,NPQ_Lss,QY_max
1,BESC-1004,5/3/24,10.84192701,0.304936579,7.1,46.5,5.015,764.13,7.7265,61.6460,0.326711487,1207,247.509,2111.708412,12451.18604,2560.499819,4739.601848,3267.273787,1.715159264,0.829384218
2,BESC-1005,5/10/24,16.05605322,0.375981974,12.59,27.5,4.045,225.03,3.4671,65.8312,0.454298498,1191,516.645,2275.312121,10193.11601,2691.409329,4347.010442,3289.308639,1.430869637,0.772025589
3,BESC-1006,5/6/24,16.0813539,0.299683631,7.74,36,5.92,705.5,9.4337,78.5164,0.243022957,1283,236.6154,2217.824877,11957.27721,2786.584091,5258.370575,3533.936805,1.325954748,0.814150127
4,BESC-1007,5/1/24,23.08371664,0.463400867,21.02,45,5.22,488.95,7.9227,84.6704,0.220911378,1310,420.6852,1911.219384,11328.16877,2457.753834,4105.063175,2846.759349,1.84591442,0.829649994
5,BESC-101,5/7/24,8.844683843,0.087893416,9.74,76,5.82,1185.75,14.2899,75.2272,0.060053992,822,197.2062,2180.32706,11132.84015,2241.676313,3717.922367,2661.842794,2.065609376,0.803840657
6,BESC-1012,5/10/24,10.92707482,0.366534692,5.73,32.8,5.385,791.23,11.0548,79.6836,0.562343372,954,234.0522,2652.798426,12159.21028,3250.566465,5673.966966,4447.121013,1.255442531,0.780128117
7,BESC-1015,5/6/24,18.41921696,0.435808895,13.23,55,6.16,1017.68,16.6248,84.8826,0.249696968,1159,338.3424,2392.915772,12234.2328,2557.38241,4172.36701,2906.976143,1.996487645,0.802707389
8,BESC-1017,5/10/24,16.68581541,0.403072776,13.36,37.5,4.31,413.6,5.4268,81.1690,0.174693744,1218,334.4976,2529.752807,10446.14723,2725.726985,4547.938888,3419.860203,1.385210379,0.755434284
9,BESC-1019,4/29/24,20.87114425,0.388215432,20.55,93,6.81,1547.72,21.5964,65.8901,0.336511595,1214,339.9444,2094.235384,12775.45724,2629.863668,5269.081663,3561.723886,1.488775917,0.833631854
10,BESC-102,5/6/24,14.53693873,0.14799597,22.99,66,6.745,767.01,11.7756,63.8742,0.086094914,1465,335.4588,2070.025167,11604.282,2702.343438,4734.366749,3272.496978,1.533821373,0.820025998
11,BESC-1020,5/1/24,20.19546116,0.513048525,17.6,37,5.035,682.72,9.1296,75.4394,0.155683526,1181,258.2424,2067.021993,12478.59159,2675.85491,5008.735566,3567.970366,1.553992156,0.832942783
12,BESC-103,5/2/24,6.885392411,0.150862589,6.16,47,5.39,760.69,7.8289,51.2479,0.176514119,1048,225.081,2000.512967,10684.88697,2439.981276,4308.016702,3304.547007,1.590529041,0.811823712
13,BESC-1035,5/10/24,16.35813533,0.326979971,13.86,36.4,5.395,445.01,5.7985,69.8690,0.0105997,1356,313.3512,2264.545857,11776.3764,2725.470506,5405.65305,3382.694472,1.246021517,0.806451591
14,BESC-104,4/30/24,11.68264799,0.168121829,11.56,70.5,5.4,1027.74,9.4543,45.5183,0.207550365,1106,360.6102,2092.595234,11726.06615,2539.533562,4591.843895,3342.422048,1.612079283,0.819460569
15,BESC-1043,5/7/24,14.21725278,0.199627058,20.11,32.5,4.455,521.58,7.1449,80.9568,0.161934466,1076,151.2288,2087.344774,9417.666349,2594.171337,4377.367745,3274.799774,1.222852116,0.773812455
16,BESC-1045,5/3/24,21.68580917,0.398475104,19.41,38,4.775,575.46,7.4275,80.5442,0.121746858,1334,241.902,1943.302907,11461.48149,2339.406461,4416.371023,2727.905106,1.672890426,0.829270272
17,BESC-105,4/29/24,13.26580461,0.185763539,14.25,76.5,6.525,915.63,12.4754,60.1606,0.405452748,1148,337.5414,2048.067274,12264.79424,3154.824179,6584.328558,4285.030649,0.903580663,0.829959365
18,BESC-106,4/30/24,11.00142242,0.24566766,5.5,61,6.025,1060.61,11.7046,60.7972,0.081452583,964,181.1862,2535.836003,13634.92984,2502.013677,4307.659829,3205.445405,2.247581599,0.814322652
19,BESC-1068,5/3/24,15.00157112,0.283655938,8.88,48,4.95,916.32,10.1637,70.1343,,873,156.0348,2504.410116,13156.17122,2111.562583,3799.660632,2499.763809,2.522428559,0.810527397
